date,retm1,retm2,retm3,retm4,retm5,retm6,retm7,retm8,retm9,retm10,retm11,retm12,retm13,retm14,retm15,retm16,retm17,retm18,retm19,retm20,retm21,retm22,retm23,retm24,retm25,retme1,retme2,retme3,retme4,retme5,retme6,retme7,retme8,retme9,retme10,retme11,retme12,retme13,retme14,retme15,retme16,retme17,retme18,retme19,retme20,retme21,retme22,retme23,retme24,retme25
20111230,-3.93321,-2.65923,-0.84834,-2.26143,-2.30763,-1.70849,-1.29218,1.859103,-1.49156,-2.73799,-2.02735,0.730767,-0.05036,2.142687,0.075625,-1.14958,3.057215,2.284189,0.799108,0.280837,0.603717,2.357246,2.401218,-0.19511,-2.29354,-3.95613,-0.50217,1.701552,0.336608,0.07579,0.667229,0.683512,1.222469,-0.58639,-1.09715,1.320037,0.494848,1.913156,2.010011,-1.00756,-0.14285,0.898909,0.492362,1.073375,0.34155,-0.40638,2.403028,0.713565,1.794999,-1.22776
20120131,17.83258,9.04645,14.41098,16.79287,13.33068,11.6582,10.54095,8.428094,8.850419,10.64554,8.946606,6.1508,4.689517,8.217216,5.471082,7.607333,4.718271,2.532159,1.650302,2.400383,-1.37106,3.727602,6.004565,-0.10245,2.765401,19.63731,13.3982,17.39351,12.95816,14.65898,9.708849,10.71876,8.361569,9.553932,9.746896,9.334082,7.052135,6.139665,5.949171,7.29923,7.639588,5.96235,3.823554,4.22156,5.211942,7.457109,4.885948,2.260021,3.12442,4.635354
20120229,6.262343,5.500952,1.343364,5.14841,6.379268,6.414281,6.046937,5.576918,5.659921,3.255449,0.543437,3.527154,5.337866,3.207474,3.89206,0.443445,3.181709,4.458561,6.382725,4.957396,1.825855,1.816795,2.441094,1.853105,7.27049,4.994396,7.282842,2.389023,5.449268,5.385035,5.791769,5.081354,3.125136,4.054014,3.876741,4.722246,2.944194,4.898715,3.059768,3.867337,2.854339,1.207748,2.341238,2.149623,5.053056,2.964854,3.09846,1.171263,3.188275,4.632539
20120330,7.305134,-1.868,-2.85397,0.383361,2.687376,5.257827,6.466472,0.129555,3.344263,3.245543,-0.42022,2.585919,1.203332,1.364608,3.847573,2.893669,4.317886,1.017565,3.306927,6.595545,1.918432,3.038481,5.033442,3.372739,5.998949,3.469696,1.614187,0.973065,4.297287,2.576282,3.49966,1.425092,3.24383,4.976127,2.495511,0.490832,4.022296,2.282904,2.358569,3.563689,2.866258,2.831637,3.838659,2.700054,4.010544,2.933456,5.622721,3.79851,4.928779,3.361554
20120430,-4.33901,-3.82962,-4.00545,0.193284,1.279029,0.064815,-2.94291,0.403809,-1.08097,0.820509,-10.8713,-4.8064,-1.99923,-1.17475,1.321534,-5.51867,-2.13051,-1.37915,1.119072,-0.01398,-2.83095,-1.57562,0.683335,-1.18312,-1.53168,-2.11831,-1.01935,-3.34342,-0.41693,-0.08465,-3.46231,-2.4387,1.027119,-0.25672,1.639599,-5.96683,-2.0357,-1.49901,0.106249,0.453937,-4.76164,-1.71895,-1.36147,-0.66196,1.162916,-3.32112,-1.00866,1.458626,-1.11233,-0.48236
20120531,-13.8759,-9.89902,-8.11089,-8.83089,-6.80083,-12.1,-9.15849,-10.0137,-2.86139,-1.95323,-16.5827,-11.584,-7.57173,-5.43427,-2.62954,-12.1686,-9.10793,-6.8736,-4.53688,-7.23078,-10.0721,-11.5438,-6.02882,-6.90972,-2.40363,-11.9569,-9.16532,-9.35486,-6.04764,-6.08495,-9.69293,-5.53122,-6.51535,-3.91166,-2.41086,-10.247,-8.29378,-5.17245,-4.46975,-5.22875,-8.74903,-7.36743,-5.76771,-3.78121,-6.2627,-10.5428,-6.73376,-7.28998,-2.6783,-4.39278
20120629,3.237607,2.429409,8.209822,4.894781,4.34742,3.805682,2.210419,3.300746,3.583365,3.632832,-0.38398,3.27274,2.63331,6.814558,3.291023,4.02238,4.191623,5.751592,3.139839,2.51164,5.552555,5.823723,5.451504,3.078739,1.245652,0.50466,3.472308,7.026196,5.370015,5.379572,2.225385,4.152697,4.064368,3.972986,4.074775,3.600094,5.216146,3.421455,3.690569,4.901033,4.635278,2.938452,3.99387,3.347252,2.068119,4.553499,4.371571,4.337331,2.681585,4.88923
20120731,-1.76465,0.309341,-0.80152,-0.62082,-3.93995,-2.98796,0.209819,0.621628,2.003616,2.936866,-1.07165,0.6713,0.377656,1.296198,2.262311,-0.50674,-1.31876,-0.84545,-0.29098,3.334304,-5.73925,-0.05732,-0.21972,1.159162,1.609622,-0.7931,-0.4934,-2.63599,-2.49201,-2.95165,-3.3032,-3.17701,1.753822,0.94396,0.505547,-2.87986,-1.59325,-0.76691,0.350541,1.253086,-3.97608,-1.05428,-1.06577,-0.62824,0.98225,-1.2476,-0.22591,-0.43327,0.415211,0.244947
20120831,2.301665,6.421874,4.408131,4.68603,5.414278,4.870708,4.019488,3.372469,3.88914,5.207711,5.844799,3.337334,2.926013,1.903998,0.882527,5.552744,4.228483,1.390657,1.619466,0.330805,7.258854,5.504975,-1.5193,0.06245,4.317075,2.180148,6.935468,4.596886,3.606692,3.395956,4.195233,2.637993,3.134625,2.709257,1.878002,5.626544,2.559675,2.553282,2.463709,1.56575,2.276198,3.141139,1.594523,1.786236,2.233755,2.525961,3.323054,2.154826,3.930444,4.167058
20120928,4.639939,5.853641,3.962066,2.914351,0.844174,4.478867,4.987441,1.487484,2.329535,0.861992,3.919504,5.521557,2.197485,2.116996,-0.79939,1.507553,0.829211,3.726685,4.943363,1.86661,3.968006,1.599217,3.20973,2.555696,1.98534,7.595733,6.059226,4.648365,3.078123,4.849768,2.892419,3.793166,3.047306,2.456147,2.721195,3.254826,3.193778,2.344529,3.606334,4.074298,4.147067,2.967705,3.172136,3.243182,1.937537,4.712587,2.549332,3.860383,3.951229,3.839285
20121031,-2.94079,-0.87741,1.133972,1.92066,0.207582,-1.29515,-3.99211,-0.98275,-1.51166,-1.03862,0.221782,-1.47518,-1.76998,-1.28817,-2.12258,0.452788,-1.7298,-3.71226,-0.67622,0.023585,-3.17818,-1.13343,-0.94187,-1.42022,-7.15131,-2.31946,-3.34071,-3.76112,-3.96885,-4.56337,-2.82153,-2.2534,-0.4662,-1.1817,-0.1375,-2.11301,-1.43763,-1.01458,-0.55046,-1.7305,-1.90004,-0.72931,-1.08379,0.110053,0.503628,-3.43657,0.047822,-0.15181,-0.54986,-0.0594
20121130,0.594141,2.125395,0.689071,-0.15711,4.869651,-1.05873,-0.00375,2.324653,-0.74444,2.137313,-0.09312,-1.15411,0.599213,1.796354,0.216416,1.119752,-0.03088,0.260071,1.264573,4.803211,-1.22633,0.438478,1.270235,1.094943,0.596063,1.164737,1.008568,-0.80952,0.81747,-0.07189,-1.37528,0.439875,1.317538,1.310486,0.39985,-0.8513,0.637807,0.027326,0.577562,0.415678,-1.27427,1.181045,-0.18109,0.767821,1.366769,0.336435,-0.3455,1.390944,0.975559,-0.073
