DATE,YYMM,MAX,LONG,RF
4961,197308,-0.077640445,-0.076525835,0.0072166667
4992,197309,0.0467029636,0.0384710373,0.0058166667
5022,197310,0.0107722322,0.0134085283,0.0061333333
5053,197311,-0.104577482,-0.101084526,0.0060833333
5083,197312,0.0115072934,0.0072477521,0.0062166667
5114,197401,-0.035804789,-0.034396111,0.0062333333
5145,197402,-0.009354336,-0.009832906,0.0062166667
5173,197403,-0.00804373,-0.008742454,0.0069
5204,197404,-0.066512221,-0.065961562,0.0074166667
5234,197405,-0.011514954,-0.01434032,0.0067333333
5265,197406,-0.019831961,-0.018623423,0.0061166667
5295,197407,-0.018688138,-0.018387241,0.0063916667
5326,197408,-0.109910291,-0.108603353,0.0074416667
5357,197409,-0.157912923,-0.156845317,0.0051
5387,197410,0.1681960481,0.1693239642,0.0065
5418,197411,-0.072016554,-0.071569116,0.006225
5448,197412,0.0149978351,0.0130734566,0.0058833333
5479,197501,0.2003027838,0.1979288293,0.0047333333
5510,197502,0.06357446,0.0631794734,0.0045
5538,197503,0.0501334542,0.0463209776,0.0046083333
5569,197504,0.0616378044,0.0583915883,0.0045833333
5599,197505,0.0676529497,0.0655588564,0.0043333333
5630,197506,0.0534500373,0.0503545853,0.0048833333
5660,197507,-0.08642843,-0.08659372,0.0052083333
5691,197508,-0.033165073,-0.032029176,0.0053
5722,197509,-0.016976819,-0.016232839,0.0054833333
5752,197510,0.067959495,0.0709896353,0.0045916667
5783,197511,0.0192022184,0.0223300351,0.0046166667
5813,197512,0.0033829159,0.0035893569,0.0043333333
5844,197601,0.0833582081,0.0848776971,0.0039416667
5875,197602,-0.059667252,-0.058473687,0.0041666667
5904,197603,0.0643647924,0.0632611211,0.0041416667
5935,197604,-0.014976405,-0.014954216,0.0040916667
5965,197605,0.0160010879,0.0159082786,0.004575
5996,197606,0.0623228612,0.062837192,0.004475
6026,197607,0.0085604363,0.0089818127,0.0043083333
6057,197608,-0.013756189,-0.01125513,0.0042416667
6088,197609,0.0275176353,0.027709122,0.0042166667
6118,197610,-0.038065041,-0.037295427,0.004075
6149,197611,-0.008729614,-0.008822216,0.0036833333
6179,197612,0.0339294136,0.0343368496,0.0036166667
6210,197701,-0.041254547,-0.0389935,0.0039333333
6241,197702,-0.030136365,-0.02801503,0.0039166667
6269,197703,-0.009518774,-0.00877938,0.0037833333
6300,197704,-0.000965338,-0.00386294,0.0039083333
6330,197705,-0.014713282,-0.016949273,0.0041916667
6361,197706,0.0721236273,0.0726038609,0.00415
6391,197707,-0.000921068,0.0002339886,0.0045
6422,197708,0.0080088335,0.0082683285,0.0046333333
6453,197709,0.0010578047,0.0007875436,0.0049083333
6483,197710,-0.032040725,-0.030610261,0.00515
6514,197711,0.0302428923,0.0300256519,0.0050333333
6544,197712,0.0101294381,0.0115871366,0.0051083333
6575,197801,-0.070849785,-0.068546647,0.00535
6606,197802,-0.013704465,-0.014912114,0.00535
6634,197803,0.0173081682,0.0144874513,0.0053916667
6665,197804,0.1097030686,0.1094806411,0.0052916667
6695,197805,0.012975135,0.0107288101,0.0055416667
6726,197806,-0.006879007,-0.005990241,0.0058416667
6756,197807,0.0486685685,0.0499565832,0.0056333333
6787,197808,0.0235156654,0.0237045155,0.0062833333
6818,197809,0.0222828907,0.0198141719,0.00665
6848,197810,-0.073435046,-0.071222348,0.0072916667
6879,197811,0.0371905795,0.0361645265,0.0075083333
6909,197812,0.0378256941,0.0412685611,0.0077166667
6940,197901,0.0028977625,0.0039335142,0.0077416667
6971,197902,-0.040838403,-0.040167243,0.007875
6999,197903,0.0320459379,0.0317847451,0.0078666667
7030,197904,-0.011077959,-0.011355964,0.0079666667
7060,197905,-0.022632642,-0.022392624,0.007975
7091,197906,0.0255542406,0.0226288353,0.0074583333
7121,197907,0.0145228674,0.0114214819,0.00765
7152,197908,0.0555121128,0.0522472979,0.008175
7183,197909,-0.001600841,-0.003295447,0.0084333333
7213,197910,-0.048178761,-0.049247299,0.0101
7244,197911,0.0251051831,0.0259683374,0.009575
7274,197912,0.0144127515,0.0128774036,0.0100333333
7305,198001,0.0358313946,0.0347257955,0.01
7336,198002,0.0090641196,0.0063549807,0.011675
7365,198003,-0.053490782,-0.056191771,0.0118666667
