DATE,max1ud01,max1ud02,max1ud03,max1ud04,max1ud05,max1ud06,max1ud07,max1ud08,max1ud09,max1ud10,imax1ud01,imax1ud02,imax1ud03,imax1ud04,imax1ud05,imax1ud06,imax1ud07,imax1ud08,imax1ud09,imax1ud10,max1cimax1c11,max1cimax1c12,max1cimax1c13,max1cimax1c14,max1cimax1c21,max1cimax1c22,max1cimax1c23,max1cimax1c24,max1cimax1c25,max1cimax1c31,max1cimax1c32,max1cimax1c33,max1cimax1c34,max1cimax1c35,max1cimax1c41,max1cimax1c42,max1cimax1c43,max1cimax1c44,max1cimax1c45,max1cimax1c52,max1cimax1c53,max1cimax1c54,max1cimax1c55,max1cimax1c51,max1cimax1c15
19650630,-0.043127,-0.035136,-0.051950,-0.042049,-0.052684,-0.052481,-0.067199,-0.067819,-0.102597,-0.121140,-0.047679,-0.033530,-0.044379,-0.051961,-0.065504,-0.064904,-0.064306,-0.084214,-0.097553,-0.104890,-0.035051,-0.055073,-0.073141,0.034679,-0.052178,-0.040434,-0.054789,-0.075519,-0.113636,-0.040466,-0.049528,-0.065748,-0.069375,-0.105337,-0.039999,-0.080268,-0.070707,-0.063363,-0.085638,,-0.097225,-0.142002,-0.105125,,
19650730,0.006069,0.026481,0.018790,-0.004154,0.014359,0.037580,0.023408,0.017834,0.029590,0.055800,0.017365,0.015048,0.009207,0.006351,0.000560,0.025061,0.040395,0.040991,0.025982,0.044675,0.018502,0.013114,-0.002348,0.093773,0.012712,-0.000603,0.004802,0.036949,0.036787,0.024260,0.012341,0.018391,0.049177,0.000773,0.032268,0.013534,0.010427,0.027588,0.025853,0.010830,0.022795,0.047257,0.045019,0.010444,
19650831,0.012881,0.033485,0.029105,0.019307,0.030059,0.059422,0.040833,0.060965,0.077233,0.052800,0.021548,0.017933,0.035804,0.029312,0.037240,0.052778,0.042243,0.047184,0.070296,0.058613,0.020086,0.035552,0.076953,-0.014554,0.032994,0.022095,0.016506,0.026504,0.020134,0.002774,0.036462,0.059419,0.042427,0.069681,0.008148,0.071626,0.041864,0.047766,0.071204,0.131909,0.136656,0.053853,0.063024,0.016878,
19650930,0.030436,0.014912,0.042426,0.018044,0.040522,0.044947,0.043656,0.038874,0.052900,0.027623,0.033313,-0.003861,0.026133,0.054987,0.017491,0.054864,0.031989,0.044883,0.058433,0.023022,0.027115,0.026291,-0.049149,0.004545,0.005562,0.040604,0.016818,0.076709,,-0.006550,0.049313,0.038272,0.044156,0.039728,0.007500,0.069095,0.054069,0.036276,0.038750,,0.085698,0.024053,0.045912,-0.005348,
19651029,0.009240,0.022340,0.035569,0.023913,0.027408,0.052728,0.037717,0.040785,0.068244,0.084611,0.029503,0.000629,0.035190,0.040293,0.024367,0.051238,0.044370,0.054866,0.057910,0.085688,0.017495,0.029738,0.023378,0.045500,0.023859,0.039029,0.021400,0.096157,0.309091,0.000328,0.051842,0.046329,0.031491,0.089470,,0.025750,0.025381,0.056619,0.042644,0.102663,0.160157,0.057374,0.077189,,
19651130,-0.014602,-0.016527,0.001475,0.017057,0.014195,0.007936,0.061682,0.054733,0.028982,0.066079,-0.005044,-0.031393,0.020265,0.012840,0.031220,0.039189,0.040050,0.020909,0.036267,0.064209,-0.018446,0.014963,0.007389,,-0.006736,0.010676,0.038969,-0.019771,,-0.028143,0.014909,0.018548,0.019361,0.026521,0.102981,0.105865,0.088452,0.035732,0.061805,,0.056628,0.059315,0.044627,,
19651231,-0.000443,0.009252,0.020073,0.011861,0.011463,0.015750,0.026398,0.028175,0.049252,0.013364,-0.005178,0.014023,0.022284,0.032914,0.022280,0.032724,0.028384,0.020669,0.051913,0.021432,0.003065,0.016038,0.058354,,0.000906,0.043351,0.007261,-0.001961,0.272727,-0.008635,0.011985,0.030094,0.026221,0.083425,0.067729,-0.002244,0.044359,0.019149,0.044970,,-0.015794,0.039671,0.035002,,
19660131,-0.002357,-0.008458,-0.007406,0.015254,0.029675,0.042309,0.059322,0.046185,0.035710,0.053436,-0.010191,0.010879,0.009788,0.019953,0.022937,0.035237,0.028617,0.039333,0.045113,0.053746,-0.004721,-0.002678,-0.012150,,-0.003438,0.009572,0.010541,-0.013785,0.055833,0.069910,0.044215,0.031265,0.027243,0.270765,0.132993,0.037794,0.081840,0.038355,0.056914,-0.077364,-0.025012,0.036248,0.046841,,
19660228,-0.036494,-0.016180,-0.015805,-0.001152,0.005217,-0.002975,0.020548,0.019341,0.023589,0.077052,-0.023800,-0.024083,-0.004691,-0.018777,-0.005321,0.008180,0.006739,0.029381,0.056687,0.052689,-0.026270,-0.018447,-0.021714,,-0.010246,-0.003857,-0.024154,-0.001253,0.012358,-0.000431,-0.013351,0.011258,-0.004529,0.046248,-0.015788,-0.018461,0.029598,0.024727,0.022320,-0.072327,-0.065513,0.023200,0.063379,-0.009471,
19660331,-0.015409,-0.010634,-0.035111,-0.044527,-0.004868,-0.024676,0.006735,-0.011784,-0.031991,-0.028808,-0.029430,-0.023264,-0.018873,-0.014763,-0.015689,-0.007326,-0.021305,-0.020803,0.006220,-0.028338,-0.014341,-0.006074,-0.013005,0.029839,-0.050423,-0.024936,-0.025982,-0.063674,,-0.033147,-0.016130,-0.006434,-0.026837,0.133283,0.054283,-0.005634,0.004287,-0.008507,0.015637,-0.061233,-0.075354,-0.049548,-0.022085,-0.076220,
