T,N,C
198205,4200,0.0725900419
198206,4200,0.0749172637
198207,4234,0.0722248185
198208,4256,0.0748534474
198209,4277,0.0612491902
198210,4272,0.0665847272
198211,4283,0.0724566558
198212,4299,0.0718999175
198301,4393,0.0726570883
198302,4427,0.0692666468
198303,4488,0.0654072595
198304,4499,0.0655766176
198305,4518,0.0642849245
198306,4563,0.0619097522
198307,4604,0.0637510999
198308,4596,0.0614514957
198309,4597,0.0620521306
198310,4655,0.0588208744
198311,4824,0.051932297
198312,4884,0.0504019683
198401,4890,0.0440540773
198402,4888,0.0481327464
198403,4928,0.0493685998
198404,4961,0.0481018427
198405,4999,0.0463177042
198406,5053,0.0443194374
198407,5108,0.0396157536
198408,5142,0.0444298958
198409,5163,0.0439405071
198410,5192,0.0423907786
198411,5222,0.042434476
198412,5302,0.0433580939
198501,5315,0.0448778484
198502,5326,0.0401344275
198503,5358,0.0386772115
198504,5348,0.0375169364
198505,5332,0.0349875631
198506,5332,0.0332950541
198507,5298,0.0322236117
198508,5332,0.0262080867
198509,5328,0.0287428246
198510,5328,0.0275203285
198511,5311,0.0269233938
198512,5309,0.02673865
198601,5280,0.0265860867
198602,5271,0.0259725179
198603,5263,0.0258287331
198604,5267,0.0275325104
198605,5281,0.0272464131
198606,5306,0.027667705
198607,5384,0.0335437813
198608,5404,0.0327414531
198609,5427,0.0375513181
198610,5444,0.037302403
198611,5441,0.0381019869
198612,5425,0.038506289
198701,5415,0.0420968438
198702,5458,0.0425494607
198703,5477,0.0432927598
198704,5508,0.0458047121
198705,5583,0.0461954315
198706,5683,0.0450771923
198707,5753,0.0391278516
198708,5789,0.0392509819
198709,5839,0.0329360486
198710,5893,0.1446024653
198711,5940,0.142435989
198712,5997,0.1389114089
198801,6020,0.1396659093
198802,6043,0.1386599353
198803,6091,0.137527257
198804,6115,0.13731325
198805,6149,0.1379388318
198806,6201,0.13831267
198807,6271,0.138561915
198808,6304,0.1388078561
198809,6334,0.1382672158
198810,6363,0.0465327361
198811,6329,0.04146076
198812,6276,0.0366025828
198901,6245,0.0265615419
198902,6245,0.0270368897
198903,6223,0.0268969209
198904,6233,0.0240022487
198905,6229,0.0216188478
198906,6224,0.0216033624
198907,6232,0.0214381854
198908,6219,0.0194696287
198909,6202,0.0193870107
198910,6220,0.0271936313
198911,6203,0.025541888
198912,6197,0.0270157519
199001,6174,0.0310651883
199002,6161,0.0305737625
199003,6144,0.0292385249
199004,6133,0.0294878364
